"Split","Shot","Method","NovelAP50_x100","NovelAP50","Source"
"1","3","Ours-Robust","31.70","0.3170","DIOR main table"
"1","5","Ours-Robust","36.10","0.3610","DIOR main table"
"1","10","Ours-Robust","42.30","0.4230","DIOR main table"
"1","20","Ours-Robust","44.30","0.4430","DIOR main table"
"2","3","Ours-Robust","13.70","0.1370","DIOR main table"
"2","5","Ours-Robust","16.20","0.1620","DIOR main table"
"2","10","Ours-Robust","22.70","0.2270","DIOR main table"
"2","20","Ours-Robust","27.70","0.2770","DIOR main table"
"3","3","Ours-Robust","23.40","0.2340","DIOR main table"
"3","5","Ours-Robust","25.80","0.2580","DIOR main table"
"3","10","Ours-Robust","30.40","0.3040","DIOR main table"
"3","20","Ours-Robust","35.30","0.3530","DIOR main table"
"4","3","Ours-Robust","23.40","0.2340","DIOR main table"
"4","5","Ours-Robust","25.30","0.2530","DIOR main table"
"4","10","Ours-Robust","31.30","0.3130","DIOR main table"
"4","20","Ours-Robust","38.50","0.3850","DIOR main table"
